Index,County,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,sd_le_agg_q1_F,sd_le_raceadj_q1_F,sd_le_agg_q2_F,sd_le_raceadj_q2_F,sd_le_agg_q3_F,sd_le_raceadj_q3_F,sd_le_agg_q4_F,sd_le_raceadj_q4_F,sd_le_agg_q1_M,sd_le_raceadj_q1_M,sd_le_agg_q2_M,sd_le_raceadj_q2_M,sd_le_agg_q3_M,sd_le_raceadj_q3_M,sd_le_agg_q4_M,sd_le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
0,Label,,Income Quartile 1,,Income Quartile 2,,Income Quartile 3,,Income Quartile 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Average,,81.24887256,,84.51291978,,85.51949744,,87.37766422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Delaware,82.345322,82.629631,84.678047,85.115326,86.795403,87.11512,88.842712,88.860512,76.331596,76.716492,80.578278,81.083092,82.709229,83.140602,84.764717,84.960037,0.81769806,0.79301178,0.71241939,0.67987001,0.65735304,0.62389797,0.53727639,0.53148884,0.64219391,0.63438046,0.66267806,0.65046519,0.64562201,0.62411225,0.63359225,0.62005186,45041,77708,114129,175899,41719,72109,111828,181006
3,Fairfield,81.223167,81.599426,85.68679,86.024597,85.899399,86.253403,86.597832,86.825134,74.717392,75.130424,80.766815,81.208252,83.071396,83.465866,84.59024,84.901985,0.59978509,0.58350343,0.5406878,0.51895845,0.63003117,0.60334432,0.75703031,0.73334837,0.44102648,0.44315234,0.49660933,0.48704264,0.55237055,0.53998536,0.63813674,0.61455178,74693,111185,125185,95593,66955,107635,123019,91932
4,Franklin,79.598671,80.475693,83.232841,83.743782,85.000969,85.398491,87.579567,87.817062,74.3769,75.317764,79.065193,79.652519,82.008606,82.47789,85.055237,85.382401,0.23287146,0.23528379,0.23169576,0.22812846,0.24780132,0.24204858,0.28297421,0.27444136,0.17531355,0.18800046,0.2101724,0.21642335,0.23955446,0.23673154,0.28095901,0.27375507,563315,741877,670609,610037,564914,629943,607496,593041
5,Hocking,81.055695,81.516609,84.092461,84.516914,85.626656,86.003113,82.856339,83.330948,76.214233,76.653679,80.181969,80.732864,84.020424,84.362862,82.785057,83.201614,1.1055261,1.0663663,1.2017604,1.1497604,1.8555717,1.772884,2.5886977,2.5249684,0.81969184,0.80694073,0.99109679,0.96281165,1.2565457,1.2091998,2.7812636,2.7446392,21697,23455,16789,5764,20769,24599,16730,5260
6,Knox,81.245316,81.684517,83.772888,84.174171,85.22715,85.606049,88.494736,88.694366,75.559669,76.027542,80.068626,80.492691,83.051888,83.445343,84.73848,85.0662,0.83215737,0.80334997,0.84072113,0.80766469,1.0307363,0.98352182,1.0370427,0.98506635,0.68015122,0.67529857,0.70100778,0.68459451,0.92339015,0.89291573,1.1630211,1.1176425,36253,47404,42119,22104,33318,49184,40860,19685
7,Licking,81.045326,81.442291,84.392273,84.777496,85.93351,86.293228,86.916809,87.210976,75.099937,75.597343,79.981606,80.444908,83.644562,84.023529,84.946587,85.262589,0.53666425,0.52236146,0.53694415,0.51496994,0.61294246,0.58441269,0.81002611,0.77426928,0.43470126,0.43380997,0.47663531,0.46709919,0.58430481,0.56535995,0.75377131,0.73045701,85035,111740,114413,76562,76961,110785,112187,71181
8,Madison,79.821083,80.395622,83.499649,83.910515,82.869705,83.308464,89.158623,89.319946,73.437355,74.212639,78.114204,78.555557,81.702194,82.070183,84.891884,85.208725,0.96858531,0.92686677,0.97523481,0.93370926,1.1095191,1.0713549,1.0131687,0.96303433,0.7070905,0.70826483,0.76215631,0.75916398,0.90188932,0.88162369,1.4790664,1.4351,23485,35632,35519,23989,22593,36264,35644,22983
9,Pickaway,79.616699,80.063393,83.253487,83.687637,84.746872,85.14344,86.152725,86.49633,74.633423,75.177658,79.59938,80.069496,82.353165,82.768517,82.077286,82.535599,0.91854721,0.89235508,0.85303831,0.81833351,0.95398349,0.90909564,1.4743357,1.4070947,0.67092425,0.67361987,0.72627932,0.71732306,0.86988747,0.84086359,1.2735419,1.2385676,27963,40226,41450,22598,25222,41066,40637,20680
10,Union,81.01535,81.432671,84.373413,84.66584,84.172119,84.554169,87.719261,87.843704,74.765602,75.219818,79.172157,79.596184,83.000008,83.369774,84.504791,84.832512,1.1847463,1.1467836,1.2270962,1.1801383,1.3100061,1.2621704,1.493042,1.4493883,1.0175706,1.005161,1.0021555,0.98409629,1.088132,1.0507476,1.6191514,1.5618886,15979,24730,31282,22056,14423,24741,32596,21970
