County,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Delaware,24,25.4,26.6,27.1,26.9,25.9,25.5,26.5,27.1,28.1
Fairfield,26.2,26.4,29.7,30.4,30.7,31.1,30.9,30.6,31.1,32.6
Franklin,24.7,25,26.7,30.2,30.9,30.9,30.3,29.5,29.2,29.7
Hocking,26.4,26.4,28.6,30.3,31.3,34.5,31.8,30.5,34,37.5
Licking,26.1,25.7,28,30.1,30.2,32.3,30.4,30.9,29.3,31.4
Madison,25.1,25.2,27.2,28.7,29.4,31.4,30.7,31.2,28.6,29.6
Morrow,25.1,25.5,28.2,29.8,29.9,30.3,30.9,33.8,36.9,36.9
Perry,25.6,26.3,28,28.8,30.4,33.6,36.7,36.2,35.5,36.3
Pickaway,25.9,25.6,28.2,30.4,30.9,33.6,33,34.9,35.9,34
Union,25.9,26.4,28.5,30.1,31.7,34.4,34.2,33.6,32.2,34.2
