Year,Delaware,Fairfield,Franklin,Hocking,Licking,Madison,Morrow,Perry,Pickaway,Union
2004,0.24,0.262,0.247,0.264,0.261,0.251,0.251,0.256,0.259,0.259
2005,0.254,0.264,0.25,0.264,0.257,0.252,0.255,0.263,0.256,0.264
2006,0.266,0.297,0.267,0.286,0.28,0.272,0.282,0.28,0.282,0.285
2007,0.271,0.304,0.302,0.303,0.301,0.287,0.298,0.288,0.304,0.301
2008,0.269,0.307,0.309,0.313,0.302,0.294,0.299,0.304,0.309,0.317
2009,0.259,0.311,0.309,0.345,0.323,0.314,0.303,0.336,0.336,0.344
2010,0.255,0.309,0.303,0.318,0.304,0.307,0.309,0.367,0.33,0.342
2011,0.265,0.306,0.295,0.305,0.309,0.312,0.338,0.362,0.349,0.336
2012,0.271,0.311,0.292,0.34,0.293,0.286,0.369,0.355,0.359,0.322
2013,0.281,0.326,0.297,0.375,0.314,0.296,0.369,0.363,0.34,0.342
